Time (ps),3max_apo,3max,4lxz,4ly1,5iwg,5ix0
0,0.005013,0.005035,0.005013,0.00504,0.004971,0.004986
10,0.649682,0.606777,0.643562,0.595341,0.591258,0.532799
20,0.706327,0.628693,0.590926,0.667003,0.734974,0.740259
30,0.7283,0.645066,0.701863,0.690096,0.68486,0.79891
40,0.735962,0.6589,0.702681,0.675503,0.643257,0.770504
50,0.771252,0.607113,0.665652,0.659179,0.685751,0.74235
60,0.734807,0.648495,0.791943,0.714775,0.701325,0.837974
70,0.837029,0.618276,0.794123,0.682748,0.718997,0.866443
80,0.767041,0.605613,0.672872,0.74913,0.7164,0.795918
90,0.858406,0.617647,0.78761,0.738751,0.821932,0.974513
100,0.797078,0.683219,0.807276,0.698776,0.709247,0.883463
110,0.904967,0.743062,0.733206,0.738657,0.714592,0.852968
120,0.949188,0.682665,0.671635,0.603866,0.797732,0.810541
130,0.807521,0.679188,0.692671,0.688602,0.789266,0.851157
140,0.761055,0.689712,0.678905,0.637409,0.810223,0.786513
150,0.715218,0.672383,0.721641,0.688818,0.833163,0.850468
160,0.675441,0.716793,0.678481,0.652815,0.763053,0.733995
170,0.751639,0.697971,0.63715,0.643636,0.805404,0.903171
180,0.731888,0.692823,0.662391,0.632269,0.84702,0.981904
190,0.845831,0.660719,0.832229,0.716075,0.813607,0.917944
200,0.780313,0.684178,0.869856,0.623263,0.75812,0.927
210,0.709599,0.687521,0.866803,0.67728,0.926913,0.920719
220,0.767652,0.732499,0.721415,0.725309,0.829115,0.953273
230,0.707225,0.692476,0.804373,0.76894,0.820208,0.994084
240,0.812928,0.621256,0.759402,0.759638,0.827603,1.054398
250,0.845776,0.718288,0.72673,0.719951,0.824427,1.071175
260,0.810515,0.662768,0.620834,0.785743,0.944232,0.983008
270,0.80706,0.716032,0.787703,0.682853,0.818528,0.881162
280,0.856549,0.742957,0.733101,0.730598,0.888548,1.006724
290,0.789869,0.792448,0.733802,0.66628,0.842266,0.88748
300,0.78224,0.739682,0.689914,0.707696,0.803863,1.042256
310,0.861426,0.730879,0.718239,0.789471,0.836045,0.978936
320,0.785588,0.738404,0.687512,0.721337,0.868792,0.977837
330,0.766508,0.760265,0.721218,0.807085,0.944301,1.094509
340,0.760123,0.790643,0.729707,0.775739,0.875417,1.096717
350,0.774967,0.720098,0.701842,0.824473,1.026055,1.016123
360,0.736033,0.79121,0.765402,0.808831,0.933043,1.010776
370,0.881935,0.757494,0.799036,0.712805,0.868212,1.003305
380,0.877578,0.671026,0.794636,0.703764,0.875765,0.944732
390,0.835501,0.751085,0.838769,0.775257,0.879778,0.920022
400,0.94245,0.773252,0.716524,0.819621,0.942266,0.991516
410,0.819396,0.739556,0.678597,0.737964,0.981139,1.098596
420,0.901399,0.754421,0.669659,0.712357,0.954633,1.166341
430,0.929672,0.8151,0.747542,0.750984,0.966176,0.988981
440,0.939462,0.819058,0.7522,0.693937,0.931016,1.097065
450,0.860153,0.787935,0.884511,0.722407,0.97892,1.016283
460,0.870764,0.798491,0.891754,0.739075,0.925025,1.013457
470,0.844653,0.809259,0.900733,0.77898,1.029004,0.961656
480,0.712004,0.803154,0.808284,0.668581,0.886626,1.069404
490,0.840182,0.80287,0.791631,0.68596,0.982082,0.986153
500,0.889481,0.796806,0.768753,0.741676,1.01738,0.948314
510,0.859396,0.722854,0.866977,0.762719,0.942596,0.967978
520,0.841376,0.758701,0.874314,0.726409,1.027818,1.010443
530,0.838938,0.722704,0.792463,0.669364,1.013297,1.105353
540,0.867431,0.669412,0.837907,0.68531,1.079259,0.960531
550,0.954587,0.671703,0.773971,0.693085,0.988573,0.946618
560,0.833648,0.742307,0.842466,0.690704,1.062473,0.935942
570,0.833953,0.666208,0.858602,0.748015,1.166132,0.871892
580,0.84196,0.704811,0.84229,0.795918,1.042524,0.997301
590,0.825832,0.791504,0.855264,0.708781,1.05277,0.89677
600,0.841857,0.872476,0.790714,0.726355,1.027523,0.991662
610,0.800503,0.82599,0.776274,0.794186,0.981686,1.092867
620,0.826101,0.80473,0.729402,0.731887,0.948282,1.049472
630,0.863125,0.739785,0.807437,0.76777,0.966608,1.172668
640,0.859379,0.660605,0.827114,0.653148,1.065292,1.05034
650,0.933349,0.639789,0.848969,0.777834,1.01076,0.959597
660,0.965045,0.752458,0.827516,0.806479,0.991981,0.965225
670,0.881112,0.769056,0.77661,0.802388,1.061225,1.035635
680,0.956333,0.758394,0.74623,0.768672,0.856612,1.021181
690,0.923377,0.725121,0.800478,0.807692,0.99877,0.929041
700,0.991514,0.745227,0.744568,0.858416,1.03093,0.947069
710,0.867436,0.742152,0.756105,0.896452,0.958668,1.009268
720,0.977572,0.794157,0.74975,0.819371,0.960524,0.91302
730,0.953555,0.758005,0.742511,0.875445,0.906843,0.969067
740,0.854717,0.787947,0.743702,0.796222,0.922128,1.085365
750,0.959939,0.836142,0.779726,0.847183,1.0328,1.045732
760,0.830112,0.763545,0.762854,0.866007,1.010531,0.87861
770,0.868117,0.820719,0.799505,0.901299,0.943178,0.981561
780,0.913698,0.872055,0.768896,0.906818,1.01969,1.018449
790,0.852209,1.0129,0.801016,0.870392,1.055977,0.978144
800,1.002854,0.9183,0.780603,0.942167,1.016203,1.023581
810,1.03285,0.866981,0.802424,0.927282,1.051981,1.002318
820,1.058526,0.84888,0.743513,0.866537,0.999203,1.14244
830,1.029309,0.828298,0.831886,0.767308,1.050374,1.024048
840,0.983469,0.795543,0.752352,0.773824,0.959948,1.024694
850,1.025069,0.827443,0.790507,0.824021,1.014532,1.077674
860,1.153496,0.728363,0.862686,0.881445,1.053906,1.159646
870,1.080058,0.777987,0.728146,0.913008,1.047183,1.128983
880,0.982776,0.741315,0.738038,0.862081,1.066397,1.235524
890,1.017955,0.793728,0.763123,0.897636,1.106061,1.283912
900,0.968001,0.859959,0.754546,0.92088,1.251726,1.074361
910,1.008356,0.799799,0.770212,0.95682,1.091096,1.195669
920,1.039025,0.869202,0.692368,0.975118,1.146096,1.189124
930,1.017957,0.806281,0.754746,1.019793,1.078116,1.133398
940,1.143219,0.815577,0.81088,0.967559,1.066773,1.009811
950,1.063144,0.83999,0.774276,0.932307,1.239332,1.06164
960,1.123307,0.871878,0.747772,0.963786,1.143803,1.167743
970,1.032221,0.883905,0.841601,1.047789,1.124266,1.155265
980,1.053986,0.864342,0.749153,1.128682,1.055164,1.123061
990,0.938499,0.8556,0.786659,1.042911,1.079877,1.022287
1000,0.945793,0.809216,0.788067,1.079527,1.04003,1.105571
1010,0.967255,0.788391,0.747157,1.038174,1.146141,1.072255
1020,0.942742,0.819834,0.732345,1.13455,1.071527,0.951101
1030,0.850539,0.753293,0.758219,1.077248,1.125305,0.972898
1040,0.957769,0.783202,0.73846,1.108199,1.005188,1.005769
1050,0.900535,0.821342,0.67692,1.099824,0.996703,1.037968
1060,0.816517,0.863006,0.703946,1.071682,1.100616,1.070306
1070,0.917946,0.8684,0.724447,1.075537,1.090018,0.992818
1080,0.937086,0.848381,0.690048,1.018322,1.124579,0.999614
1090,0.923574,0.882721,0.778615,1.060051,1.041339,1.075578
1100,0.878249,0.868843,0.778473,1.043766,1.046866,1.04858
1110,0.872383,0.859636,0.709032,0.977668,1.079879,1.064695
1120,0.885671,0.820346,0.77246,1.037873,1.119115,1.053652
1130,0.952612,0.808433,0.706434,0.963257,1.090873,0.975787
1140,0.879826,0.865688,0.786342,0.951718,1.175605,1.027769
1150,0.926701,0.872879,0.73467,0.853861,1.233242,0.961538
1160,0.879986,0.851382,0.768049,1.016046,1.105409,1.02791
1170,0.886371,0.836489,0.675021,0.924408,1.1612,1.040155
1180,0.79874,0.782285,0.748259,1.031816,1.126791,1.055893
1190,0.823298,0.81281,0.741818,1.002837,1.058533,1.168729
1200,0.816579,0.877697,0.779215,1.084766,1.09265,1.112723
1210,0.835466,0.844678,0.786928,1.057297,1.128858,1.181564
1220,0.874425,0.945815,0.746046,1.020809,1.111065,1.053545
1230,0.814757,0.845916,0.710625,0.888523,1.076594,1.125636
1240,0.759786,0.895111,0.765452,0.990103,1.074606,1.072342
1250,0.992018,0.937549,0.765706,1.010904,1.017522,1.097965
1260,0.767897,0.954411,0.804112,1.021315,0.982557,1.026226
1270,0.867479,0.917034,0.753171,0.95747,1.045775,0.992697
1280,0.867966,0.912494,0.701051,0.997351,1.063933,1.040677
1290,0.836306,0.853815,0.713922,1.037459,1.117223,1.093766
1300,0.973044,0.87056,0.677378,0.981626,1.083244,1.054195
1310,0.979716,0.914624,0.682545,1.012699,1.113531,0.971362
1320,0.972192,0.913261,0.805927,1.068981,1.098118,1.057224
1330,0.93092,0.793528,0.77008,1.033279,1.12934,1.112871
1340,0.980148,0.785864,0.842886,1.02442,1.10676,1.141188
1350,1.152882,0.80733,0.82075,1.096103,1.091101,1.123796
1360,0.896692,0.820296,0.756055,1.09031,1.119086,1.046745
1370,0.945097,0.876657,0.688197,1.13404,1.215729,1.134247
1380,1.021048,0.796428,0.758431,1.092129,1.259589,1.067589
1390,0.966792,0.772991,0.781138,1.042025,1.203496,0.985884
1400,1.006045,0.829401,0.821966,1.129039,1.126725,1.059194
1410,0.899137,0.813003,0.781585,1.199728,1.062383,0.996651
1420,1.046909,0.822109,0.871127,1.09164,1.085935,1.026531
1430,0.92771,0.827988,0.829215,1.090292,1.141698,1.058431
1440,0.966797,0.773296,0.921555,1.022866,1.146136,1.081577
1450,1.034048,0.830802,0.965465,1.122067,1.07245,1.143813
1460,0.993707,0.809369,0.847185,1.138606,1.128267,1.203647
1470,0.992748,0.868649,0.873864,1.082077,1.154043,1.184208
1480,0.966473,0.774855,0.86292,0.966032,0.984458,1.166026
1490,0.994619,0.841757,0.859989,1.019545,1.065309,1.10348
1500,0.90891,0.813779,0.923458,1.076317,1.109341,1.186857
1510,0.946542,0.776117,0.82344,1.00249,1.118235,1.066382
1520,0.961984,0.790452,0.851771,1.057477,1.053603,1.088136
1530,0.965481,0.764826,0.83259,1.020525,1.059979,1.076112
1540,0.913854,0.728901,0.883289,1.115112,1.045154,1.012351
1550,0.996666,0.741142,0.892666,1.049226,1.118856,1.122833
1560,1.013716,0.813859,0.903703,0.954635,1.048733,1.179257
1570,1.054784,0.834686,0.822421,1.017872,0.957539,1.040824
1580,1.099659,0.862257,0.815695,1.0172,1.002711,1.103847
1590,1.135263,0.895609,0.836214,1.008659,1.077951,1.212474
1600,0.976479,0.811042,0.858649,0.929554,1.020277,1.046912
1610,0.991166,0.842351,0.848786,0.898816,1.062949,1.056939
1620,0.925508,0.891153,0.792326,0.941606,1.007495,1.105651
1630,0.955798,0.859035,0.780097,1.003211,1.017278,1.139859
1640,1.123359,0.879252,0.741784,1.027746,1.099348,1.168231
1650,1.101373,0.808744,0.733374,0.987575,1.110524,1.096985
1660,1.02999,0.761541,0.832334,0.937197,1.078651,1.071756
1670,0.98462,0.770486,0.762303,1.039767,0.987449,1.066725
1680,1.088483,0.806586,0.756526,1.035062,0.979341,1.083676
1690,1.134758,0.887235,0.746976,1.004935,1.008666,1.036719
1700,1.235816,0.858968,0.841516,1.005486,0.922854,1.060805
1710,1.150353,0.831174,0.850531,0.998653,0.966965,1.122837
1720,1.330605,0.724404,0.841415,1.007007,0.978742,1.113281
1730,1.118868,0.807061,0.827001,1.045753,0.937843,1.142874
1740,1.096613,0.808397,0.82754,1.016636,0.959368,1.112081
1750,1.108112,0.796621,0.761106,1.104452,0.994082,1.080601
1760,1.124467,0.807873,0.887821,1.06387,1.039646,1.136821
1770,1.168813,0.861016,0.761485,1.153858,0.985247,1.046409
1780,1.299956,0.854722,0.86461,1.043805,1.042824,1.073576
1790,1.127048,0.820987,0.822943,1.082618,1.083335,1.028054
1800,1.119317,0.88743,0.812922,1.106909,1.064076,1.098319
1810,1.026776,0.868633,0.88054,1.069284,1.041864,1.109899
1820,1.16082,0.899834,0.825367,1.051714,1.024155,1.093691
1830,1.029293,0.795721,0.868289,1.028633,0.955661,1.16274
1840,1.006953,0.893094,0.826717,1.071757,0.982074,1.172168
1850,0.800843,0.781981,0.870035,1.0719,0.948107,1.175823
1860,0.891368,0.792941,0.829929,1.124986,0.98823,1.124427
1870,0.950897,0.876255,0.797334,1.043096,0.986658,1.166192
1880,0.962038,0.796321,0.758575,1.138079,0.875279,1.166503
1890,0.895011,0.780965,0.753757,0.924102,0.967148,1.131633
1900,0.905645,0.786889,0.810437,0.884262,0.981411,1.189386
1910,0.914749,0.847776,0.791216,0.890738,1.003689,1.112517
1920,0.985434,0.767137,0.757401,1.046809,1.000784,1.078591
1930,0.911424,0.711551,0.753691,0.907548,0.937581,1.124368
1940,1.000148,0.772306,0.703861,1.0205,0.971092,1.142556
1950,0.842131,0.740389,0.755664,0.928601,1.072166,1.067112
1960,0.786107,0.768248,0.779084,0.991094,1.077922,1.150738
1970,1.025585,0.761463,0.801263,0.945341,1.078605,1.063597
1980,1.077724,0.827956,0.750944,1.04613,1.043022,1.160407
1990,0.937373,0.77974,0.7826,0.961401,1.062304,1.168006
2000,0.979315,0.811438,0.747733,1.018824,1.086588,1.181896
2010,1.030121,0.9149,0.840616,1.069742,1.060637,1.075553
2020,0.942159,0.783417,0.78613,1.091351,1.015172,1.096191
2030,1.002068,0.815194,0.82347,1.091673,1.08519,1.140077
2040,0.974274,0.749802,0.806871,0.948638,1.102627,1.07365
2050,0.949975,0.821441,0.813459,0.994911,1.123738,1.111579
2060,0.935957,0.764304,0.825541,0.90684,1.092163,1.071874
2070,0.90579,0.871582,0.797665,0.852612,1.212094,1.160653
2080,1.012795,0.905917,0.802332,0.855559,1.25275,1.17152
2090,1.073205,0.788694,0.846266,0.955456,1.176076,1.079097
2100,0.924023,0.879724,0.788073,0.889952,1.250873,1.187276
2110,0.940729,0.938976,0.787961,0.905964,1.297234,1.166089
2120,1.056651,0.943362,0.815322,0.83309,1.20572,1.104107
2130,0.967263,0.88632,0.807988,0.892015,1.240943,1.108513
2140,0.916719,0.90758,0.800129,0.848803,1.253535,1.106703
2150,0.884187,0.863346,0.747627,0.917798,1.225713,1.121432
2160,0.87087,0.892172,0.768204,0.868667,1.213796,1.073526
2170,0.897375,0.874873,0.772261,0.886501,1.256932,1.058283
2180,1.036225,0.869388,0.823856,0.828936,1.155435,1.051197
2190,1.106645,0.938752,0.780409,0.885174,1.093102,1.087697
2200,1.109726,0.857249,0.814228,0.833221,1.091817,1.034445
2210,1.028462,0.862617,0.788924,0.855383,1.021975,1.104135
2220,1.175846,0.861113,0.768243,0.830045,1.037606,1.2386
2230,1.195542,0.854349,0.789655,0.880057,1.023482,1.059382
2240,1.113939,0.77486,0.790393,0.929561,1.119792,1.021029
2250,1.167592,0.895586,0.755119,1.00789,1.0751,1.099217
2260,1.147151,0.865702,0.773391,0.965101,1.011503,1.087646
2270,1.191376,0.834169,0.765221,0.929374,1.128969,1.033566
2280,1.188729,0.916122,0.797182,0.93698,0.998428,1.090281
2290,1.239229,0.880662,0.705583,0.958045,1.025245,1.259639
2300,1.12091,0.929376,0.778312,0.969454,1.089128,1.123311
2310,1.0661,0.93493,0.835707,1.002462,1.011291,1.147836
2320,1.112267,1.017542,0.889827,1.011275,1.10681,1.203571
2330,1.060556,1.083135,0.875496,0.89385,1.09555,1.056474
2340,1.072836,1.11941,0.877168,0.81763,1.08207,1.14242
2350,1.135872,1.077837,0.890293,0.905229,1.131671,1.01146
2360,1.080222,1.038312,0.814846,0.979159,1.168896,1.06626
2370,1.008809,1.03032,0.850368,0.828231,1.058794,1.034953
2380,0.94161,1.131016,0.847684,0.860977,1.026636,1.111368
2390,0.934702,0.934261,0.794403,0.920452,1.045319,1.067088
2400,0.940539,0.940742,0.734311,0.903088,1.052786,1.079052
2410,0.912391,0.986746,0.773659,0.821883,1.145127,1.118973
2420,0.954789,0.970046,0.851443,0.923738,1.113779,1.103108
2430,0.883039,0.910974,0.832219,0.870073,1.168976,1.09719
2440,0.822638,0.979891,0.829595,0.882357,1.134558,1.116337
2450,0.894047,1.018253,0.819693,0.850443,1.019692,1.110612
2460,1.110414,0.967251,0.812847,0.915632,1.139885,1.145167
2470,0.98511,1.004644,0.76817,0.812784,1.07369,0.994707
2480,0.961316,0.920213,0.841553,0.827951,1.05809,1.113198
2490,0.98877,0.937235,0.870776,0.861974,1.052257,1.118583
2500,0.953098,0.986076,0.768969,0.875655,1.17102,1.078102
2510,0.903176,0.960677,0.77972,0.809706,1.101523,1.188457
2520,0.932059,0.978246,0.791801,0.815184,1.061896,1.110416
2530,0.927361,0.946996,0.840984,0.871448,1.133978,1.12121
2540,0.987246,0.959153,0.776867,0.774453,1.126096,1.100475
2550,0.984714,1.032681,0.886409,0.851673,1.206047,1.169619
2560,0.949522,0.978335,0.839375,0.816299,1.234688,1.054175
2570,1.018954,0.946819,0.845134,0.826933,1.135819,1.077885
2580,0.970729,0.925286,0.849307,0.884691,1.083604,1.041518
2590,0.900754,0.994105,0.895589,0.814577,1.163857,1.125448
2600,1.005982,0.882965,0.858929,0.788011,1.078183,1.126871
2610,0.915614,0.879101,0.794882,0.791844,1.160616,1.060354
2620,0.992181,0.88084,0.868176,0.757408,1.147321,1.129519
2630,0.938124,0.996821,0.885635,0.806032,1.175658,1.099955
2640,0.909334,0.915175,0.854253,0.833229,1.075946,1.078138
2650,0.872978,0.919411,0.87628,0.789086,1.059865,1.222353
2660,0.825237,0.9328,0.837095,0.808838,1.015682,1.084132
2670,0.827053,0.921352,0.969531,0.830878,1.098134,1.105403
2680,0.795599,0.872546,0.90357,0.791032,1.086323,1.167816
2690,0.888233,0.915222,0.922614,0.902038,0.975176,1.102169
2700,0.88242,0.886175,0.864504,0.9196,0.95034,1.131864
2710,1.015367,0.9057,0.997919,0.930285,1.083795,1.09434
2720,1.067929,0.868895,0.8883,0.915849,1.075052,1.102608
2730,0.95305,0.880652,0.843669,0.901071,1.063165,1.180348
2740,1.074166,1.012439,0.928698,0.903185,1.230567,1.097879
2750,0.987682,1.01691,0.868189,0.941549,1.162193,1.120589
2760,1.012358,0.993501,0.848228,0.929946,1.058889,1.224423
2770,1.003206,0.860315,0.89992,1.009215,1.022765,1.117876
2780,1.02386,0.849588,0.918054,0.968038,1.06245,1.026757
2790,1.028151,0.933147,0.883678,0.991586,0.995046,1.116618
2800,1.065467,0.866387,0.887371,0.994649,1.020088,1.107372
2810,1.066334,0.84178,0.879032,0.946298,1.051959,1.109115
2820,0.956716,0.933066,0.816952,0.991565,1.085798,1.123464
2830,0.896285,0.950132,0.916445,1.036111,1.053806,1.146213
2840,0.96428,0.943947,0.907182,0.980458,1.156656,1.171734
2850,0.985306,0.90305,0.838633,1.033552,1.112642,1.113988
2860,0.986207,0.949946,0.931038,1.139533,1.021336,1.140245
2870,1.078796,1.085691,0.900412,0.973195,1.071445,1.173532
2880,1.133042,0.948938,0.909022,1.002594,1.00959,1.321926
2890,1.165682,1.020124,0.861126,0.928488,1.049148,1.217911
2900,1.165066,0.996279,0.816078,0.989671,0.990376,1.168645
2910,1.181152,0.910195,0.838003,1.082698,1.065234,1.111868
2920,1.137608,0.985017,0.783372,0.970711,1.042978,1.136891
2930,0.998012,1.052062,0.85812,0.940107,1.146116,1.166279
2940,1.047172,1.098816,0.851043,0.939049,1.199615,1.142313
2950,1.022549,1.073524,0.83389,0.946295,1.15098,1.237471
2960,0.970228,1.084384,0.791786,0.962479,1.241241,1.170769
2970,1.025054,1.050582,0.8144,1.014932,1.143466,1.250785
2980,1.01541,1.182572,0.818778,0.972964,1.178456,1.221365
2990,1.040523,1.182731,0.800156,1.075796,0.985635,1.213564
3000,1.03444,1.11101,0.818181,1.091873,1.067444,1.14187
3010,1.05591,1.111879,0.830642,1.088628,1.204624,1.239965
3020,0.970375,0.990731,0.847764,1.146523,1.084844,1.140435
